4.117747023701667786e-02,-4.395085852593183517e-03,2.197542972862720490e-02,1.000000000000000000e+01,0.000000000000000000e+00
2.927712202072143555e-01,-2.344045788049697876e-01,0.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00
1.041848540306091309e+00,1.758034378290176392e-01,-3.867675662040710449e-01,8.000000000000000000e+00,0.000000000000000000e+00
1.270320892333984375e+00,-2.871456146240234375e-01,1.640832126140594482e-01,1.300000000000000000e+01,0.000000000000000000e+00
2.114461660385131836e+00,-6.197071075439453125e-01,0.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00
1.679452061653137207e+00,1.752174139022827148e+00,2.285444587469100952e-01,9.000000000000000000e+00,0.000000000000000000e+00
2.507307529449462891e+00,-7.383744716644287109e-01,2.461248189210891724e-01,1.000000000000000000e+01,0.000000000000000000e+00
3.055340290069580078e+00,-1.371266722679138184e+00,4.219282269477844238e-01,9.000000000000000000e+00,0.000000000000000000e+00
3.490892648696899414e+00,-5.567108988761901855e-01,-4.453687071800231934e-01,8.000000000000000000e+00,0.000000000000000000e+00
3.684283256530761719e+00,-8.497166037559509277e-01,-3.908696413040161133e+00,7.000000000000000000e+00,0.000000000000000000e+00
3.650863170623779297e+00,-1.210113644599914551e+00,-3.976087570190429688e+00,7.000000000000000000e+00,0.000000000000000000e+00
7.045567989349365234e+00,-1.344896316528320312e+00,0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00
